2021;Sunrise;Noon;Sunset;Length;Change;AT_east;NT_east;CT_east;CT_west;NT_west;AT_west
01.01.2021;9:00:29;12:34:13;16:07:58;7:07;+1:21;6:40:27;7:25:37;8:14:03;16:54:24;17:42:50;18:28:00
02.01.2021;9:00:12;12:34:41;16:09:10;7:08;+1:29;6:40:24;7:25:31;8:13:52;16:55:29;17:43:51;18:28:58
03.01.2021;8:59:51;12:35:08;16:10:25;7:10;+1:36;6:40:17;7:25:22;8:13:39;16:56:37;17:44:54;18:29:59
04.01.2021;8:59:26;12:35:35;16:11:44;7:12;+1:44;6:40:08;7:25:09;8:13:21;16:57:48;17:46:00;18:31:02
05.01.2021;8:58:57;12:36:01;16:13:06;7:14;+1:51;6:39:56;7:24:54;8:13:01;16:59:02;17:47:08;18:32:07
06.01.2021;8:58:24;12:36:27;16:14:31;7:16;+1:58;6:39:40;7:24:36;8:12:36;17:00:18;17:48:19;18:33:14
07.01.2021;8:57:47;12:36:53;16:15:59;7:18;+2:05;6:39:22;7:24:14;8:12:09;17:01:37;17:49:32;18:34:24
08.01.2021;8:57:07;12:37:18;16:17:30;7:20;+2:11;6:39:01;7:23:49;8:11:38;17:02:59;17:50:47;18:35:36
09.01.2021;8:56:23;12:37:43;16:19:04;7:22;+2:18;6:38:37;7:23:21;8:11:03;17:04:23;17:52:05;18:36:49
10.01.2021;8:55:35;12:38:07;16:20:40;7:25;+2:25;6:38:09;7:22:50;8:10:25;17:05:49;17:53:25;18:38:05
11.01.2021;8:54:43;12:38:31;16:22:19;7:27;+2:30;6:37:39;7:22:16;8:09:44;17:07:18;17:54:46;18:39:23
12.01.2021;8:53:48;12:38:54;16:24:01;7:30;+2:37;6:37:06;7:21:39;8:09:00;17:08:49;17:56:10;18:40:43
13.01.2021;8:52:50;12:39:17;16:25:45;7:32;+2:43;6:36:30;7:20:59;8:08:12;17:10:22;17:57:36;18:42:04
14.01.2021;8:51:48;12:39:39;16:27:31;7:35;+2:48;6:35:51;7:20:16;8:07:22;17:11:57;17:59:03;18:43:28
15.01.2021;8:50:42;12:40:01;16:29:19;7:38;+2:53;6:35:09;7:19:29;8:06:28;17:13:34;18:00:32;18:44:53
16.01.2021;8:49:34;12:40:22;16:31:10;7:41;+2:59;6:34:24;7:18:40;8:05:31;17:15:13;18:02:04;18:46:19
17.01.2021;8:48:22;12:40:42;16:33:02;7:44;+3:04;6:33:37;7:17:48;8:04:31;17:16:53;18:03:36;18:47:48
18.01.2021;8:47:08;12:41:02;16:34:56;7:47;+3:09;6:32:46;7:16:53;8:03:28;17:18:36;18:05:11;18:49:18
19.01.2021;8:45:50;12:41:21;16:36:52;7:51;+3:14;6:31:53;7:15:55;8:02:22;17:20:20;18:06:46;18:50:49
20.01.2021;8:44:29;12:41:39;16:38:50;7:54;+3:18;6:30:57;7:14:55;8:01:13;17:22:05;18:08:24;18:52:22
21.01.2021;8:43:05;12:41:57;16:40:49;7:57;+3:23;6:29:58;7:13:51;8:00:02;17:23:52;18:10:03;18:53:56
22.01.2021;8:41:39;12:42:14;16:42:49;8:01;+3:27;6:28:56;7:12:45;7:58:47;17:25:41;18:11:43;18:55:32
23.01.2021;8:40:09;12:42:30;16:44:51;8:04;+3:31;6:27:51;7:11:36;7:57:30;17:27:30;18:13:24;18:57:09
24.01.2021;8:38:38;12:42:46;16:46:54;8:08;+3:35;6:26:44;7:10:25;7:56:10;17:29:21;18:15:07;18:58:48
25.01.2021;8:37:03;12:43:00;16:48:58;8:11;+3:38;6:25:34;7:09:10;7:54:48;17:31:13;18:16:51;19:00:27
26.01.2021;8:35:26;12:43:14;16:51:03;8:15;+3:42;6:24:21;7:07:53;7:53:23;17:33:06;18:18:36;19:02:08
27.01.2021;8:33:46;12:43:28;16:53:09;8:19;+3:46;6:23:05;7:06:34;7:51:55;17:35:00;18:20:21;19:03:50
28.01.2021;8:32:04;12:43:40;16:55:16;8:23;+3:49;6:21:47;7:05:12;7:50:25;17:36:55;18:22:08;19:05:33
29.01.2021;8:30:20;12:43:52;16:57:23;8:27;+3:52;6:20:27;7:03:47;7:48:53;17:38:51;18:23:56;19:07:17
30.01.2021;8:28:34;12:44:03;16:59:31;8:30;+3:54;6:19:03;7:02:20;7:47:18;17:40:47;18:25:45;19:09:02
31.01.2021;8:26:45;12:44:13;17:01:40;8:34;+3:58;6:17:37;7:00:50;7:45:40;17:42:45;18:27:35;19:10:48
01.02.2021;8:24:54;12:44:22;17:03:50;8:38;+4:00;6:16:09;6:59:18;7:44:01;17:44:43;18:29:25;19:12:35
02.02.2021;8:23:01;12:44:30;17:06:00;8:42;+4:03;6:14:38;6:57:44;7:42:19;17:46:42;18:31:17;19:14:23
03.02.2021;8:21:06;12:44:38;17:08:10;8:47;+4:05;6:13:04;6:56:07;7:40:35;17:48:41;18:33:08;19:16:11
04.02.2021;8:19:09;12:44:45;17:10:20;8:51;+4:08;6:11:28;6:54:28;7:38:49;17:50:40;18:35:01;19:18:01
05.02.2021;8:17:10;12:44:51;17:12:31;8:55;+4:09;6:09:50;6:52:47;7:37:01;17:52:41;18:36:54;19:19:51
06.02.2021;8:15:10;12:44:56;17:14:42;8:59;+4:12;6:08:09;6:51:04;7:35:10;17:54:41;18:38:48;19:21:43
07.02.2021;8:13:07;12:45:00;17:16:53;9:03;+4:14;6:06:26;6:49:18;7:33:18;17:56:42;18:40:43;19:23:35
08.02.2021;8:11:03;12:45:04;17:19:05;9:08;+4:15;6:04:40;6:47:30;7:31:24;17:58:44;18:42:37;19:25:27
09.02.2021;8:08:57;12:45:07;17:21:16;9:12;+4:18;6:02:52;6:45:40;7:29:28;18:00:45;18:44:33;19:27:21
10.02.2021;8:06:49;12:45:08;17:23:27;9:16;+4:18;6:01:02;6:43:48;7:27:30;18:02:47;18:46:29;19:29:15
11.02.2021;8:04:40;12:45:10;17:25:39;9:20;+4:21;5:59:09;6:41:54;7:25:30;18:04:49;18:48:25;19:31:10
12.02.2021;8:02:30;12:45:10;17:27:50;9:25;+4:22;5:57:15;6:39:58;7:23:29;18:06:51;18:50:22;19:33:05
13.02.2021;8:00:18;12:45:09;17:30:01;9:29;+4:23;5:55:17;6:38:00;7:21:25;18:08:53;18:52:19;19:35:01
14.02.2021;7:58:04;12:45:08;17:32:12;9:34;+4:24;5:53:18;6:36:00;7:19:20;18:10:56;18:54:16;19:36:58
15.02.2021;7:55:49;12:45:06;17:34:23;9:38;+4:26;5:51:17;6:33:58;7:17:14;18:12:58;18:56:14;19:38:56
16.02.2021;7:53:33;12:45:03;17:36:33;9:43;+4:27;5:49:13;6:31:54;7:15:05;18:15:01;18:58:12;19:40:54
17.02.2021;7:51:16;12:45:00;17:38:44;9:47;+4:27;5:47:07;6:29:49;7:12:56;18:17:04;19:00:11;19:42:52
18.02.2021;7:48:57;12:44:55;17:40:54;9:51;+4:29;5:44:59;6:27:41;7:10:44;18:19:06;19:02:10;19:44:52
19.02.2021;7:46:37;12:44:50;17:43:03;9:56;+4:30;5:42:49;6:25:32;7:08:32;18:21:09;19:04:09;19:46:52
20.02.2021;7:44:16;12:44:44;17:45:13;10:00;+4:30;5:40:37;6:23:21;7:06:17;18:23:12;19:06:08;19:48:52
21.02.2021;7:41:54;12:44:38;17:47:22;10:05;+4:32;5:38:23;6:21:08;7:04:02;18:25:14;19:08:08;19:50:53
22.02.2021;7:39:31;12:44:31;17:49:31;10:10;+4:32;5:36:06;6:18:54;7:01:45;18:27:17;19:10:08;19:52:55
23.02.2021;7:37:06;12:44:23;17:51:40;10:14;+4:33;5:33:48;6:16:38;6:59:26;18:29:20;19:12:08;19:54:58
24.02.2021;7:34:41;12:44:14;17:53:48;10:19;+4:33;5:31:28;6:14:20;6:57:07;18:31:22;19:14:08;19:57:01
25.02.2021;7:32:15;12:44:05;17:55:56;10:23;+4:34;5:29:06;6:12:01;6:54:46;18:33:25;19:16:09;19:59:05
26.02.2021;7:29:48;12:43:55;17:58:03;10:28;+4:35;5:26:42;6:09:40;6:52:24;18:35:27;19:18:10;20:01:09
27.02.2021;7:27:20;12:43:45;18:00:10;10:32;+4:35;5:24:16;6:07:18;6:50:00;18:37:29;19:20:12;20:03:14
28.02.2021;7:24:51;12:43:34;18:02:17;10:37;+4:35;5:21:48;6:04:54;6:47:36;18:39:32;19:22:13;20:05:20
01.03.2021;7:22:21;12:43:22;18:04:23;10:42;+4:36;5:19:18;6:02:29;6:45:11;18:41:34;19:24:15;20:07:27
02.03.2021;7:19:51;12:43:10;18:06:29;10:46;+4:37;5:16:46;6:00:03;6:42:44;18:43:36;19:26:17;20:09:34
03.03.2021;7:17:20;12:42:57;18:08:35;10:51;+4:36;5:14:12;5:57:35;6:40:16;18:45:38;19:28:20;20:11:42
04.03.2021;7:14:48;12:42:44;18:10:40;10:55;+4:37;5:11:37;5:55:05;6:37:48;18:47:40;19:30:23;20:13:51
05.03.2021;7:12:16;12:42:30;18:12:45;11:00;+4:38;5:09:00;5:52:34;6:35:18;18:49:42;19:32:26;20:16:01
06.03.2021;7:09:43;12:42:16;18:14:49;11:05;+4:37;5:06:20;5:50:02;6:32:48;18:51:44;19:34:30;20:18:12
07.03.2021;7:07:09;12:42:01;18:16:54;11:09;+4:38;5:03:39;5:47:29;6:30:16;18:53:46;19:36:34;20:20:23
08.03.2021;7:04:35;12:41:46;18:18:57;11:14;+4:38;5:00:57;5:44:54;6:27:44;18:55:48;19:38:38;20:22:36
09.03.2021;7:02:00;12:41:31;18:21:01;11:19;+4:38;4:58:12;5:42:19;6:25:11;18:57:50;19:40:43;20:24:49
10.03.2021;6:59:25;12:41:15;18:23:04;11:23;+4:38;4:55:26;5:39:42;6:22:37;18:59:52;19:42:48;20:27:04
11.03.2021;6:56:50;12:40:58;18:25:07;11:28;+4:39;4:52:38;5:37:03;6:20:02;19:01:54;19:44:54;20:29:19
12.03.2021;6:54:14;12:40:42;18:27:10;11:32;+4:39;4:49:48;5:34:24;6:17:27;19:03:56;19:47:00;20:31:36
13.03.2021;6:51:37;12:40:25;18:29:12;11:37;+4:38;4:46:56;5:31:43;6:14:51;19:05:59;19:49:06;20:33:53
14.03.2021;6:49:01;12:40:08;18:31:14;11:42;+4:39;4:44:03;5:29:02;6:12:14;19:08:01;19:51:13;20:36:12
15.03.2021;6:46:24;12:39:50;18:33:16;11:46;+4:39;4:41:08;5:26:19;6:09:37;19:10:03;19:53:21;20:38:32
16.03.2021;6:43:47;12:39:32;18:35:18;11:51;+4:39;4:38:11;5:23:35;6:06:59;19:12:05;19:55:29;20:40:53
17.03.2021;6:41:09;12:39:14;18:37:19;11:56;+4:39;4:35:13;5:20:50;6:04:20;19:14:08;19:57:38;20:43:16
18.03.2021;6:38:32;12:38:56;18:39:20;12:00;+4:38;4:32:12;5:18:05;6:01:41;19:16:11;19:59:47;20:45:40
19.03.2021;6:35:54;12:38:38;18:41:21;12:05;+4:39;4:29:10;5:15:18;5:59:02;19:18:13;20:01:57;20:48:05
20.03.2021;6:33:16;12:38:19;18:43:22;12:10;+4:39;4:26:06;5:12:30;5:56:22;19:20:16;20:04:08;20:50:32
21.03.2021;6:30:38;12:38:00;18:45:23;12:14;+4:39;4:23:01;5:09:41;5:53:41;19:22:20;20:06:19;20:53:00
22.03.2021;6:27:59;12:37:42;18:47:24;12:19;+4:39;4:19:53;5:06:52;5:51:00;19:24:23;20:08:32;20:55:30
23.03.2021;6:25:21;12:37:23;18:49:24;12:24;+4:38;4:16:44;5:04:01;5:48:19;19:26:27;20:10:44;20:58:01
24.03.2021;6:22:43;12:37:04;18:51:24;12:28;+4:39;4:13:33;5:01:09;5:45:37;19:28:31;20:12:58;21:00:35
25.03.2021;6:20:05;12:36:45;18:53:25;12:33;+4:38;4:10:20;4:58:17;5:42:55;19:30:35;20:15:13;21:03:10
26.03.2021;6:17:27;12:36:26;18:55:25;12:37;+4:39;4:07:05;4:55:24;5:40:13;19:32:39;20:17:28;21:05:47
27.03.2021;6:14:49;12:36:07;18:57:25;12:42;+4:38;4:03:48;4:52:30;5:37:30;19:34:44;20:19:44;21:08:25
28.03.2021;6:12:11;12:35:48;18:59:25;12:47;+4:38;4:00:30;4:49:35;5:34:47;19:36:49;20:22:01;21:11:06
29.03.2021;6:09:33;12:35:29;19:01:25;12:51;+4:38;3:57:09;4:46:39;5:32:04;19:38:54;20:24:19;21:13:49
30.03.2021;6:06:55;12:35:10;19:03:25;12:56;+4:37;3:53:47;4:43:43;5:29:21;19:41:00;20:26:38;21:16:34
31.03.2021;6:04:18;12:34:52;19:05:26;13:01;+4:38;3:50:22;4:40:45;5:26:37;19:43:06;20:28:58;21:19:22
01.04.2021;6:01:41;12:34:33;19:07:26;13:05;+4:37;3:46:55;4:37:47;5:23:54;19:45:13;20:31:19;21:22:12
02.04.2021;5:59:04;12:34:15;19:09:26;13:10;+4:37;3:43:26;4:34:48;5:21:10;19:47:20;20:33:41;21:25:04
03.04.2021;5:56:28;12:33:57;19:11:26;13:14;+4:37;3:39:55;4:31:49;5:18:26;19:49:27;20:36:05;21:27:59
04.04.2021;5:53:51;12:33:39;19:13:26;13:19;+4:36;3:36:21;4:28:49;5:15:43;19:51:35;20:38:29;21:30:56
05.04.2021;5:51:16;12:33:21;19:15:26;13:24;+4:36;3:32:45;4:25:48;5:12:59;19:53:43;20:40:54;21:33:57
06.04.2021;5:48:40;12:33:03;19:17:27;13:28;+4:36;3:29:07;4:22:46;5:10:15;19:55:52;20:43:21;21:37:00
07.04.2021;5:46:05;12:32:46;19:19:27;13:33;+4:36;3:25:25;4:19:43;5:07:31;19:58:01;20:45:49;21:40:07
08.04.2021;5:43:31;12:32:29;19:21:28;13:37;+4:35;3:21:41;4:16:40;5:04:48;20:00:11;20:48:18;21:43:17
09.04.2021;5:40:57;12:32:12;19:23:28;13:42;+4:34;3:17:55;4:13:36;5:02:04;20:02:21;20:50:48;21:46:30
10.04.2021;5:38:23;12:31:56;19:25:29;13:47;+4:34;3:14:05;4:10:32;4:59:21;20:04:31;20:53:20;21:49:47
11.04.2021;5:35:50;12:31:40;19:27:30;13:51;+4:34;3:10:12;4:07:27;4:56:38;20:06:42;20:55:53;21:53:08
12.04.2021;5:33:18;12:31:24;19:29:31;13:56;+4:33;3:06:16;4:04:21;4:53:55;20:08:54;20:58:28;21:56:33
13.04.2021;5:30:46;12:31:09;19:31:32;14:00;+4:33;3:02:16;4:01:14;4:51:12;20:11:06;21:01:04;22:00:02
14.04.2021;5:28:15;12:30:54;19:33:33;14:05;+4:32;2:58:12;3:58:07;4:48:29;20:13:19;21:03:41;22:03:36
15.04.2021;5:25:45;12:30:39;19:35:34;14:09;+4:31;2:54:04;3:54:59;4:45:47;20:15:32;21:06:20;22:07:15
16.04.2021;5:23:15;12:30:25;19:37:35;14:14;+4:31;2:49:52;3:51:50;4:43:05;20:17:45;21:09:00;22:10:58
17.04.2021;5:20:47;12:30:11;19:39:36;14:18;+4:30;2:45:35;3:48:41;4:40:23;20:20:00;21:11:42;22:14:48
18.04.2021;5:18:19;12:29:58;19:41:38;14:23;+4:29;2:41:13;3:45:31;4:37:42;20:22:14;21:14:25;22:18:44
19.04.2021;5:15:52;12:29:45;19:43:39;14:27;+4:29;2:36:45;3:42:20;4:35:01;20:24:29;21:17:10;22:22:46
20.04.2021;5:13:25;12:29:33;19:45:40;14:32;+4:28;2:32:11;3:39:09;4:32:21;20:26:45;21:19:57;22:26:55
21.04.2021;5:11:00;12:29:21;19:47:42;14:36;+4:26;2:27:30;3:35:57;4:29:41;20:29:01;21:22:45;22:31:12
22.04.2021;5:08:36;12:29:10;19:49:43;14:41;+4:26;2:22:41;3:32:44;4:27:02;20:31:18;21:25:35;22:35:38
23.04.2021;5:06:12;12:28:59;19:51:45;14:45;+4:25;2:17:43;3:29:30;4:24:23;20:33:35;21:28:27;22:40:14
24.04.2021;5:03:50;12:28:48;19:53:46;14:49;+4:24;2:12:36;3:26:16;4:21:45;20:35:52;21:31:20;22:45:00
25.04.2021;5:01:29;12:28:38;19:55:48;14:54;+4:22;2:07:17;3:23:01;4:19:07;20:38:10;21:34:16;22:49:59
26.04.2021;4:59:09;12:28:29;19:57:49;14:58;+4:22;2:01:46;3:19:45;4:16:30;20:40:28;21:37:13;22:55:12
27.04.2021;4:56:50;12:28:20;19:59:51;15:03;+4:20;1:55:58;3:16:28;4:13:54;20:42:47;21:40:12;23:00:42
28.04.2021;4:54:32;12:28:12;20:01:52;15:07;+4:19;1:49:52;3:13:11;4:11:18;20:45:05;21:43:13;23:06:32
29.04.2021;4:52:16;12:28:04;20:03:53;15:11;+4:18;1:43:22;3:09:52;4:08:44;20:47:25;21:46:16;23:12:46
30.04.2021;4:50:00;12:27:57;20:05:53;15:15;+4:16;1:36:23;3:06:33;4:06:10;20:49:44;21:49:21;23:19:31
01.05.2021;4:47:47;12:27:50;20:07:54;15:20;+4:14;1:28:43;3:03:13;4:03:37;20:52:04;21:52:28;23:26:58
02.05.2021;4:45:34;12:27:44;20:09:54;15:24;+4:13;1:20:06;2:59:52;4:01:05;20:54:24;21:55:37;23:35:22
03.05.2021;4:43:23;12:27:39;20:11:54;15:28;+4:11;1:09:57;2:56:30;3:58:34;20:56:44;21:58:48;23:45:20
04.05.2021;4:41:13;12:27:34;20:13:54;15:32;+4:09;0:56:43;2:53:06;3:56:03;20:59:04;22:02:01;23:58:25
05.05.2021;4:39:05;12:27:29;20:15:53;15:36;+4:07;?;2:49:42;3:53:35;21:01:24;22:05:17;?
06.05.2021;4:36:59;12:27:25;20:17:52;15:40;+4:06;?;2:46:16;3:51:07;21:03:44;22:08:34;?
07.05.2021;4:34:54;12:27:22;20:19:50;15:44;+4:03;?;2:42:49;3:48:40;21:06:04;22:11:55;?
08.05.2021;4:32:51;12:27:19;20:21:48;15:48;+4:01;?;2:39:21;3:46:15;21:08:24;22:15:17;?
09.05.2021;4:30:49;12:27:17;20:23:45;15:52;+3:58;?;2:35:52;3:43:51;21:10:44;22:18:43;?
10.05.2021;4:28:50;12:27:16;20:25:41;15:56;+3:56;?;2:32:21;3:41:28;21:13:03;22:22:11;?
11.05.2021;4:26:52;12:27:15;20:27:37;16:00;+3:54;?;2:28:48;3:39:07;21:15:23;22:25:41;?
12.05.2021;4:24:56;12:27:14;20:29:32;16:04;+3:51;?;2:25:14;3:36:47;21:17:41;22:29:15;?
13.05.2021;4:23:02;12:27:14;20:31:26;16:08;+3:48;?;2:21:37;3:34:29;21:20:00;22:32:51;?
14.05.2021;4:21:10;12:27:15;20:33:19;16:12;+3:45;?;2:17:59;3:32:12;21:22:17;22:36:30;?
15.05.2021;4:19:20;12:27:16;20:35:11;16:15;+3:41;?;2:14:18;3:29:58;21:24:34;22:40:13;?
16.05.2021;4:17:33;12:27:18;20:37:02;16:19;+3:39;?;2:10:35;3:27:45;21:26:50;22:44:00;?
17.05.2021;4:15:47;12:27:20;20:38:52;16:23;+3:35;?;2:06:50;3:25:34;21:29:06;22:47:50;?
18.05.2021;4:14:04;12:27:23;20:40:41;16:26;+3:32;?;2:03:01;3:23:25;21:31:20;22:51:44;?
19.05.2021;4:12:23;12:27:26;20:42:28;16:30;+3:28;?;1:59:09;3:21:18;21:33:33;22:55:43;?
20.05.2021;4:10:45;12:27:29;20:44:14;16:33;+3:25;?;1:55:13;3:19:14;21:35:45;22:59:46;?
21.05.2021;4:09:09;12:27:34;20:45:59;16:36;+3:20;?;1:51:13;3:17:11;21:37:56;23:03:55;?
22.05.2021;4:07:35;12:27:38;20:47:41;16:40;+3:16;?;1:47:08;3:15:11;21:40:05;23:08:09;?
23.05.2021;4:06:05;12:27:44;20:49:23;16:43;+3:12;?;1:42:57;3:13:14;21:42:13;23:12:31;?
24.05.2021;4:04:36;12:27:49;20:51:02;16:46;+3:08;?;1:38:39;3:11:19;21:44:19;23:17:00;?
25.05.2021;4:03:11;12:27:55;20:52:40;16:49;+3:03;?;1:34:13;3:09:27;21:46:23;23:21:38;?
26.05.2021;4:01:49;12:28:02;20:54:15;16:52;+2:58;?;1:29:37;3:07:38;21:48:25;23:26:26;?
27.05.2021;4:00:29;12:28:09;20:55:49;16:55;+2:53;?;1:24:49;3:05:52;21:50:25;23:31:28;?
28.05.2021;3:59:12;12:28:16;20:57:20;16:58;+2:49;?;1:19:45;3:04:09;21:52:23;23:36:47;?
29.05.2021;3:57:58;12:28:24;20:58:49;17:00;+2:42;?;1:14:20;3:02:29;21:54:18;23:42:28;?
30.05.2021;3:56:48;12:28:32;21:00:16;17:03;+2:38;?;1:08:25;3:00:53;21:56:11;23:48:39;?
31.05.2021;3:55:40;12:28:41;21:01:41;17:06;+2:32;?;1:01:44;2:59:20;21:58:01;23:55:37;?
01.06.2021;3:54:36;12:28:49;21:03:03;17:08;+2:26;?;0:53:38;2:57:51;21:59:48;0:04:01;?
02.06.2021;3:53:35;12:28:59;21:04:22;17:10;+2:20;?;0:41:37;2:56:26;22:01:31;0:16:20;?
03.06.2021;3:52:37;12:29:08;21:05:39;17:13;+2:15;?;?;2:55:04;22:03:12;?;?
04.06.2021;3:51:43;12:29:18;21:06:53;17:15;+2:08;?;?;2:53:47;22:04:49;?;?
05.06.2021;3:50:52;12:29:28;21:08:03;17:17;+2:01;?;?;2:52:34;22:06:22;?;?
06.06.2021;3:50:05;12:29:38;21:09:11;17:19;+1:56;?;?;2:51:25;22:07:52;?;?
07.06.2021;3:49:22;12:29:49;21:10:16;17:20;+1:48;?;?;2:50:21;22:09:17;?;?
08.06.2021;3:48:42;12:30:00;21:11:18;17:22;+1:42;?;?;2:49:21;22:10:39;?;?
09.06.2021;3:48:05;12:30:11;21:12:17;17:24;+1:35;?;?;2:48:26;22:11:56;?;?
10.06.2021;3:47:33;12:30:22;21:13:12;17:25;+1:28;?;?;2:47:36;22:13:09;?;?
11.06.2021;3:47:04;12:30:34;21:14:04;17:26;+1:20;?;?;2:46:51;22:14:17;?;?
12.06.2021;3:46:39;12:30:45;21:14:52;17:28;+1:14;?;?;2:46:10;22:15:20;?;?
13.06.2021;3:46:17;12:30:57;21:15:37;17:29;+1:06;?;?;2:45:35;22:16:18;?;?
14.06.2021;3:46:00;12:31:09;21:16:18;17:30;+0:58;?;?;2:45:06;22:17:12;?;?
15.06.2021;3:45:46;12:31:21;21:16:55;17:31;+0:52;?;?;2:44:41;22:18:00;?;?
16.06.2021;3:45:37;12:31:33;21:17:29;17:31;+0:43;?;?;2:44:22;22:18:43;?;?
17.06.2021;3:45:31;12:31:45;21:17:59;17:32;+0:36;?;?;2:44:09;22:19:21;?;?
18.06.2021;3:45:29;12:31:57;21:18:26;17:32;+0:28;?;?;2:44:01;22:19:53;?;?
19.06.2021;3:45:31;12:32:09;21:18:48;17:33;+0:21;?;?;2:43:59;22:20:20;?;?
20.06.2021;3:45:37;12:32:22;21:19:07;17:33;+0:12;?;?;2:44:02;22:20:42;?;?
21.06.2021;3:45:47;12:32:34;21:19:21;17:33;+0:05;?;?;2:44:11;22:20:57;?;?
22.06.2021;3:46:00;12:32:46;21:19:32;17:33;?0:03;?;?;2:44:25;22:21:07;?;?
23.06.2021;3:46:18;12:32:58;21:19:39;17:33;?0:11;?;?;2:44:45;22:21:12;?;?
24.06.2021;3:46:39;12:33:10;21:19:42;17:33;?0:18;?;?;2:45:10;22:21:11;?;?
25.06.2021;3:47:04;12:33:22;21:19:40;17:32;?0:26;?;?;2:45:41;22:21:04;?;?
26.06.2021;3:47:33;12:33:34;21:19:35;17:32;?0:34;?;?;2:46:17;22:20:52;?;?
27.06.2021;3:48:05;12:33:46;21:19:26;17:31;?0:42;?;?;2:46:58;22:20:34;?;?
28.06.2021;3:48:41;12:33:57;21:19:13;17:30;?0:49;?;?;2:47:44;22:20:10;?;?
29.06.2021;3:49:21;12:34:09;21:18:56;17:29;?0:56;?;?;2:48:36;22:19:42;?;?
30.06.2021;3:50:04;12:34:20;21:18:36;17:28;?1:04;?;?;2:49:32;22:19:08;?;?
01.07.2021;3:50:51;12:34:31;21:18:11;17:27;?1:11;?;?;2:50:34;22:18:28;?;?
02.07.2021;3:51:41;12:34:42;21:17:43;17:26;?1:19;?;?;2:51:40;22:17:44;?;?
03.07.2021;3:52:35;12:34:52;21:17:10;17:24;?1:26;?;?;2:52:50;22:16:54;?;?
04.07.2021;3:53:31;12:35:03;21:16:34;17:23;?1:32;?;?;2:54:05;22:16:00;?;?
