2021;Sunrise;Noon;Sunset;Length;Change;AT_east;NT_east;CT_east;CT_west;NT_west;AT_west
05.07.2021;3:54:31;12:35:13;21:15:55;17:21;?1:40;?;?;2:55:24;22:15:01;?;?
06.07.2021;3:55:34;12:35:22;21:15:11;17:19;?1:46;?;?;2:56:48;22:13:57;?;?
07.07.2021;3:56:40;12:35:32;21:14:24;17:17;?1:53;?;?;2:58:15;22:12:49;?;?
08.07.2021;3:57:48;12:35:41;21:13:34;17:15;?1:59;?;?;2:59:46;22:11:36;?;?
09.07.2021;3:59:00;12:35:50;21:12:39;17:13;?2:06;?;?;3:01:20;22:10:19;?;?
10.07.2021;4:00:14;12:35:58;21:11:42;17:11;?2:12;?;0:41:20;3:02:58;22:08:58;0:30:36;?
11.07.2021;4:01:31;12:36:06;21:10:41;17:09;?2:18;?;0:57:55;3:04:39;22:07:33;0:14:18;?
12.07.2021;4:02:51;12:36:14;21:09:37;17:06;?2:24;?;1:06:57;3:06:23;22:06:04;0:05:31;?
13.07.2021;4:04:13;12:36:21;21:08:29;17:04;?2:29;?;1:14:12;3:08:10;22:04:32;23:58:30;?
14.07.2021;4:05:37;12:36:28;21:07:19;17:01;?2:35;?;1:20:33;3:10:00;22:02:56;23:52:23;?
15.07.2021;4:07:04;12:36:34;21:06:05;16:59;?2:40;?;1:26:18;3:11:52;22:01:16;23:46:50;?
16.07.2021;4:08:32;12:36:40;21:04:48;16:56;?2:46;?;1:31:40;3:13:47;21:59:33;23:41:40;?
17.07.2021;4:10:03;12:36:46;21:03:28;16:53;?2:50;?;1:36:44;3:15:44;21:57:47;23:36:48;?
18.07.2021;4:11:36;12:36:51;21:02:06;16:50;?2:56;?;1:41:33;3:17:43;21:55:58;23:32:08;?
19.07.2021;4:13:10;12:36:55;21:00:40;16:47;?3:00;?;1:46:11;3:19:44;21:54:06;23:27:39;?
20.07.2021;4:14:47;12:36:59;20:59:12;16:44;?3:04;?;1:50:39;3:21:46;21:52:12;23:23:19;?
21.07.2021;4:16:25;12:37:03;20:57:41;16:41;?3:09;?;1:55:00;3:23:51;21:50:14;23:19:06;?
22.07.2021;4:18:04;12:37:06;20:56:07;16:38;?3:14;?;1:59:13;3:25:57;21:48:14;23:14:58;?
23.07.2021;4:19:45;12:37:08;20:54:31;16:34;?3:17;?;2:03:20;3:28:04;21:46:12;23:10:56;?
24.07.2021;4:21:28;12:37:10;20:52:52;16:31;?3:21;?;2:07:21;3:30:13;21:44:07;23:06:59;?
25.07.2021;4:23:12;12:37:11;20:51:11;16:27;?3:25;?;2:11:18;3:32:22;21:42:00;23:03:05;?
26.07.2021;4:24:57;12:37:12;20:49:27;16:24;?3:29;?;2:15:10;3:34:33;21:39:51;22:59:15;?
27.07.2021;4:26:43;12:37:13;20:47:42;16:20;?3:32;?;2:18:57;3:36:45;21:37:40;22:55:28;?
28.07.2021;4:28:31;12:37:12;20:45:54;16:17;?3:36;?;2:22:41;3:38:58;21:35:27;22:51:43;?
29.07.2021;4:30:19;12:37:11;20:44:04;16:13;?3:38;?;2:26:21;3:41:11;21:33:12;22:48:01;?
30.07.2021;4:32:09;12:37:10;20:42:11;16:10;?3:42;?;2:29:58;3:43:25;21:30:55;22:44:22;?
31.07.2021;4:33:59;12:37:08;20:40:17;16:06;?3:45;?;2:33:31;3:45:39;21:28:37;22:40:44;?
01.08.2021;4:35:50;12:37:05;20:38:21;16:02;?3:47;?;2:37:02;3:47:54;21:26:17;22:37:09;?
02.08.2021;4:37:42;12:37:02;20:36:22;15:58;?3:50;?;2:40:29;3:50:09;21:23:55;22:33:35;?
03.08.2021;4:39:34;12:36:58;20:34:22;15:54;?3:53;?;2:43:54;3:52:25;21:21:32;22:30:03;?
04.08.2021;4:41:28;12:36:54;20:32:21;15:50;?3:55;?;2:47:16;3:54:41;21:19:08;22:26:32;?
05.08.2021;4:43:21;12:36:49;20:30:17;15:46;?3:57;?;2:50:35;3:56:56;21:16:42;22:23:03;?
06.08.2021;4:45:16;12:36:44;20:28:12;15:42;?3:59;?;2:53:52;3:59:12;21:14:15;22:19:35;?
07.08.2021;4:47:10;12:36:37;20:26:05;15:38;?4:02;?;2:57:06;4:01:28;21:11:46;22:16:08;?
08.08.2021;4:49:05;12:36:31;20:23:56;15:34;?4:04;0:55:30;3:00:18;4:03:44;21:09:17;22:12:43;0:17:31
09.08.2021;4:51:01;12:36:23;20:21:46;15:30;?4:05;1:12:13;3:03:28;4:06:00;21:06:46;22:09:19;0:00:34
10.08.2021;4:52:56;12:36:15;20:19:34;15:26;?4:07;1:23:22;3:06:35;4:08:16;21:04:15;22:05:55;23:49:09
11.08.2021;4:54:52;12:36:07;20:17:21;15:22;?4:10;1:32:23;3:09:41;4:10:32;21:01:42;22:02:33;23:39:51
12.08.2021;4:56:49;12:35:58;20:15:07;15:18;?4:10;1:40:11;3:12:44;4:12:47;20:59:09;21:59:12;23:31:45
13.08.2021;4:58:45;12:35:48;20:12:51;15:14;?4:12;1:47:10;3:15:45;4:15:02;20:56:34;21:55:51;23:24:26
14.08.2021;5:00:42;12:35:38;20:10:34;15:09;?4:14;1:53:34;3:18:44;4:17:17;20:53:59;21:52:32;23:17:41
15.08.2021;5:02:38;12:35:27;20:08:16;15:05;?4:15;1:59:31;3:21:41;4:19:32;20:51:23;21:49:13;23:11:23
16.08.2021;5:04:35;12:35:16;20:05:56;15:01;?4:16;2:05:05;3:24:36;4:21:46;20:48:46;21:45:55;23:05:26
17.08.2021;5:06:32;12:35:04;20:03:36;14:57;?4:18;2:10:22;3:27:29;4:23:59;20:46:08;21:42:38;22:59:46
18.08.2021;5:08:29;12:34:51;20:01:14;14:52;?4:18;2:15:22;3:30:20;4:26:13;20:43:30;21:39:22;22:54:20
19.08.2021;5:10:26;12:34:38;19:58:51;14:48;?4:20;2:20:10;3:33:10;4:28:26;20:40:51;21:36:07;22:49:07
20.08.2021;5:12:23;12:34:25;19:56:27;14:44;?4:21;2:24:46;3:35:58;4:30:38;20:38:11;21:32:52;22:44:04
21.08.2021;5:14:19;12:34:11;19:54:02;14:39;?4:22;2:29:12;3:38:43;4:32:50;20:35:31;21:29:38;22:39:10
22.08.2021;5:16:16;12:33:56;19:51:36;14:35;?4:23;2:33:28;3:41:28;4:35:02;20:32:51;21:26:25;22:34:24
23.08.2021;5:18:13;12:33:41;19:49:09;14:30;?4:23;2:37:37;3:44:10;4:37:13;20:30:09;21:23:12;22:29:45
24.08.2021;5:20:10;12:33:26;19:46:41;14:26;?4:25;2:41:38;3:46:51;4:39:23;20:27:28;21:20:00;22:25:14
25.08.2021;5:22:06;12:33:10;19:44:13;14:22;?4:25;2:45:31;3:49:30;4:41:33;20:24:46;21:16:49;22:20:48
26.08.2021;5:24:03;12:32:53;19:41:43;14:17;?4:26;2:49:19;3:52:08;4:43:43;20:22:03;21:13:39;22:16:27
27.08.2021;5:25:59;12:32:36;19:39:13;14:13;?4:26;2:53:01;3:54:44;4:45:52;20:19:21;21:10:29;22:12:11
28.08.2021;5:27:55;12:32:19;19:36:42;14:08;?4:28;2:56:37;3:57:18;4:48:00;20:16:37;21:07:19;22:08:00
29.08.2021;5:29:52;12:32:01;19:34:10;14:04;?4:28;3:00:09;3:59:51;4:50:08;20:13:54;21:04:11;22:03:53
30.08.2021;5:31:48;12:31:43;19:31:38;13:59;?4:28;3:03:35;4:02:23;4:52:15;20:11:10;21:01:03;21:59:50
31.08.2021;5:33:43;12:31:24;19:29:05;13:55;?4:29;3:06:57;4:04:53;4:54:22;20:08:26;20:57:56;21:55:51
01.09.2021;5:35:39;12:31:05;19:26:31;13:50;?4:29;3:10:15;4:07:21;4:56:28;20:05:42;20:54:49;21:51:55
02.09.2021;5:37:35;12:30:46;19:23:57;13:46;?4:30;3:13:29;4:09:49;4:58:34;20:02:58;20:51:43;21:48:03
03.09.2021;5:39:31;12:30:26;19:21:22;13:41;?4:31;3:16:39;4:12:15;5:00:40;20:00:13;20:48:38;21:44:13
04.09.2021;5:41:26;12:30:06;19:18:47;13:37;?4:30;3:19:46;4:14:39;5:02:44;19:57:29;20:45:34;21:40:27
05.09.2021;5:43:21;12:29:46;19:16:11;13:32;?4:32;3:22:49;4:17:03;5:04:49;19:54:44;20:42:30;21:36:43
06.09.2021;5:45:17;12:29:26;19:13:35;13:28;?4:31;3:25:50;4:19:25;5:06:52;19:51:59;20:39:26;21:33:02
07.09.2021;5:47:12;12:29:05;19:10:58;13:23;?4:32;3:28:47;4:21:46;5:08:56;19:49:14;20:36:24;21:29:23
08.09.2021;5:49:07;12:28:44;19:08:21;13:19;?4:32;3:31:41;4:24:06;5:10:59;19:46:29;20:33:22;21:25:47
09.09.2021;5:51:02;12:28:23;19:05:44;13:14;?4:33;3:34:32;4:26:25;5:13:01;19:43:44;20:30:21;21:22:13
10.09.2021;5:52:57;12:28:01;19:03:06;13:10;?4:32;3:37:21;4:28:42;5:15:03;19:41:00;20:27:21;21:18:42
11.09.2021;5:54:52;12:27:40;19:00:28;13:05;?4:33;3:40:07;4:30:59;5:17:05;19:38:15;20:24:21;21:15:12
12.09.2021;5:56:46;12:27:18;18:57:50;13:01;?4:33;3:42:51;4:33:14;5:19:06;19:35:30;20:21:22;21:11:45
13.09.2021;5:58:41;12:26:56;18:55:11;12:56;?4:34;3:45:32;4:35:29;5:21:07;19:32:46;20:18:24;21:08:20
14.09.2021;6:00:36;12:26:34;18:52:32;12:51;?4:33;3:48:12;4:37:42;5:23:07;19:30:01;20:15:26;21:04:57
15.09.2021;6:02:31;12:26:12;18:49:53;12:47;?4:34;3:50:49;4:39:54;5:25:07;19:27:17;20:12:30;21:01:36
16.09.2021;6:04:26;12:25:50;18:47:14;12:42;?4:34;3:53:24;4:42:06;5:27:07;19:24:33;20:09:34;20:58:16
17.09.2021;6:06:21;12:25:28;18:44:35;12:38;?4:34;3:55:57;4:44:17;5:29:06;19:21:49;20:06:39;20:54:59
18.09.2021;6:08:16;12:25:06;18:41:56;12:33;?4:34;3:58:28;4:46:27;5:31:05;19:19:06;20:03:45;20:51:43
19.09.2021;6:10:11;12:24:43;18:39:16;12:29;?4:35;4:00:57;4:48:36;5:33:04;19:16:23;20:00:51;20:48:30
20.09.2021;6:12:06;12:24:21;18:36:37;12:24;?4:34;4:03:25;4:50:44;5:35:03;19:13:40;19:57:59;20:45:18
21.09.2021;6:14:01;12:23:59;18:33:58;12:19;?4:35;4:05:51;4:52:51;5:37:01;19:10:57;19:55:07;20:42:07
22.09.2021;6:15:56;12:23:37;18:31:18;12:15;?4:34;4:08:15;4:54:58;5:38:59;19:08:15;19:52:16;20:38:59
23.09.2021;6:17:52;12:23:15;18:28:39;12:10;?4:35;4:10:38;4:57:04;5:40:57;19:05:34;19:49:26;20:35:52
24.09.2021;6:19:47;12:22:54;18:26:00;12:06;?4:35;4:12:59;4:59:10;5:42:55;19:02:52;19:46:37;20:32:48
25.09.2021;6:21:43;12:22:32;18:23:21;12:01;?4:34;4:15:19;5:01:14;5:44:52;19:00:12;19:43:49;20:29:44
26.09.2021;6:23:39;12:22:10;18:20:42;11:57;?4:35;4:17:38;5:03:19;5:46:50;18:57:31;19:41:02;20:26:43
27.09.2021;6:25:35;12:21:49;18:18:04;11:52;?4:35;4:19:55;5:05:22;5:48:47;18:54:51;19:38:16;20:23:43
28.09.2021;6:27:31;12:21:28;18:15:25;11:47;?4:35;4:22:11;5:07:25;5:50:44;18:52:12;19:35:31;20:20:45
29.09.2021;6:29:28;12:21:07;18:12:47;11:43;?4:34;4:24:26;5:09:27;5:52:41;18:49:34;19:32:47;20:17:49
30.09.2021;6:31:25;12:20:47;18:10:09;11:38;?4:35;4:26:40;5:11:29;5:54:38;18:46:56;19:30:04;20:14:54
01.10.2021;6:33:22;12:20:27;18:07:32;11:34;?4:35;4:28:52;5:13:31;5:56:35;18:44:18;19:27:22;20:12:01
02.10.2021;6:35:19;12:20:07;18:04:54;11:29;?4:34;4:31:03;5:15:32;5:58:32;18:41:41;19:24:42;20:09:10
03.10.2021;6:37:17;12:19:47;18:02:18;11:25;?4:35;4:33:14;5:17:32;6:00:29;18:39:05;19:22:02;20:06:21
04.10.2021;6:39:15;12:19:28;17:59:41;11:20;?4:34;4:35:23;5:19:32;6:02:26;18:36:30;19:19:24;20:03:33
05.10.2021;6:41:13;12:19:09;17:57:05;11:15;?4:34;4:37:32;5:21:32;6:04:23;18:33:56;19:16:46;20:00:47
06.10.2021;6:43:12;12:18:51;17:54:30;11:11;?4:34;4:39:39;5:23:31;6:06:19;18:31:22;19:14:10;19:58:02
07.10.2021;6:45:11;12:18:33;17:51:55;11:06;?4:34;4:41:46;5:25:30;6:08:16;18:28:49;19:11:35;19:55:20
08.10.2021;6:47:10;12:18:15;17:49:21;11:02;?4:34;4:43:52;5:27:29;6:10:13;18:26:17;19:09:02;19:52:39
09.10.2021;6:49:10;12:17:58;17:46:47;10:57;?4:33;4:45:57;5:29:27;6:12:10;18:23:46;19:06:29;19:50:00
10.10.2021;6:51:10;12:17:42;17:44:14;10:53;?4:33;4:48:01;5:31:25;6:14:07;18:21:16;19:03:58;19:47:23
11.10.2021;6:53:10;12:17:26;17:41:41;10:48;?4:33;4:50:04;5:33:23;6:16:05;18:18:47;19:01:28;19:44:47
12.10.2021;6:55:11;12:17:10;17:39:10;10:43;?4:33;4:52:07;5:35:21;6:18:02;18:16:19;18:59:00;19:42:14
13.10.2021;6:57:12;12:16:55;17:36:39;10:39;?4:32;4:54:09;5:37:18;6:19:59;18:13:52;18:56:33;19:39:42
14.10.2021;6:59:14;12:16:41;17:34:08;10:34;?4:32;4:56:10;5:39:15;6:21:57;18:11:26;18:54:08;19:37:12
15.10.2021;7:01:16;12:16:27;17:31:39;10:30;?4:31;4:58:11;5:41:11;6:23:54;18:09:01;18:51:43;19:34:44
16.10.2021;7:03:18;12:16:14;17:29:10;10:25;?4:32;5:00:11;5:43:08;6:25:52;18:06:37;18:49:21;19:32:18
17.10.2021;7:05:21;12:16:02;17:26:43;10:21;?4:30;5:02:10;5:45:04;6:27:49;18:04:14;18:47:00;19:29:53
18.10.2021;7:07:24;12:15:50;17:24:16;10:16;?4:30;5:04:09;5:47:00;6:29:47;18:01:53;18:44:40;19:27:31
19.10.2021;7:09:28;12:15:39;17:21:50;10:12;?4:30;5:06:07;5:48:56;6:31:45;17:59:33;18:42:22;19:25:11
20.10.2021;7:11:32;12:15:28;17:19:25;10:07;?4:28;5:08:05;5:50:51;6:33:43;17:57:14;18:40:06;19:22:52
21.10.2021;7:13:36;12:15:19;17:17:01;10:03;?4:29;5:10:02;5:52:46;6:35:41;17:54:56;18:37:51;19:20:36
22.10.2021;7:15:41;12:15:10;17:14:38;9:58;?4:27;5:11:58;5:54:41;6:37:39;17:52:40;18:35:38;19:18:21
23.10.2021;7:17:46;12:15:01;17:12:17;9:54;?4:27;5:13:54;5:56:36;6:39:37;17:50:25;18:33:26;19:16:09
24.10.2021;7:19:51;12:14:54;17:09:56;9:50;?4:26;5:15:49;5:58:31;6:41:36;17:48:12;18:31:17;19:13:58
25.10.2021;7:21:57;12:14:47;17:07:37;9:45;?4:25;5:17:44;6:00:25;6:43:34;17:46:00;18:29:09;19:11:50
26.10.2021;7:24:03;12:14:41;17:05:19;9:41;?4:24;5:19:38;6:02:19;6:45:32;17:43:50;18:27:02;19:09:44
27.10.2021;7:26:09;12:14:36;17:03:02;9:36;?4:23;5:21:32;6:04:13;6:47:31;17:41:41;18:24:58;19:07:40
28.10.2021;7:28:16;12:14:31;17:00:46;9:32;?4:22;5:23:25;6:06:07;6:49:29;17:39:34;18:22:56;19:05:38
29.10.2021;7:30:23;12:14:27;16:58:32;9:28;?4:21;5:25:17;6:08:00;6:51:27;17:37:28;18:20:55;19:03:38
30.10.2021;7:32:30;12:14:25;16:56:20;9:23;?4:19;5:27:09;6:09:53;6:53:25;17:35:24;18:18:56;19:01:40
31.10.2021;7:34:37;12:14:23;16:54:09;9:19;?4:19;5:29:00;6:11:45;6:55:23;17:33:22;18:17:00;18:59:45
01.11.2021;7:36:44;12:14:21;16:51:59;9:15;?4:16;5:30:51;6:13:38;6:57:21;17:31:21;18:15:05;18:57:52
02.11.2021;7:38:51;12:14:21;16:49:51;9:10;?4:16;5:32:41;6:15:29;6:59:19;17:29:23;18:13:12;18:56:01
03.11.2021;7:40:58;12:14:21;16:47:44;9:06;?4:14;5:34:30;6:17:21;7:01:17;17:27:26;18:11:22;18:54:12
04.11.2021;7:43:06;12:14:23;16:45:39;9:02;?4:12;5:36:19;6:19:12;7:03:14;17:25:31;18:09:33;18:52:26
05.11.2021;7:45:13;12:14:25;16:43:36;8:58;?4:10;5:38:07;6:21:03;7:05:11;17:23:38;18:07:47;18:50:42
06.11.2021;7:47:20;12:14:28;16:41:35;8:54;?4:09;5:39:55;6:22:53;7:07:08;17:21:47;18:06:03;18:49:01
07.11.2021;7:49:27;12:14:32;16:39:36;8:50;?4:06;5:41:41;6:24:42;7:09:05;17:19:59;18:04:21;18:47:22
08.11.2021;7:51:34;12:14:36;16:37:38;8:46;?4:05;5:43:27;6:26:31;7:11:01;17:18:12;18:02:41;18:45:45
09.11.2021;7:53:41;12:14:42;16:35:43;8:42;?4:02;5:45:13;6:28:19;7:12:56;17:16:27;18:01:04;18:44:11
10.11.2021;7:55:47;12:14:48;16:33:49;8:38;?4:00;5:46:57;6:30:07;7:14:51;17:14:45;17:59:29;18:42:39
11.11.2021;7:57:53;12:14:55;16:31:57;8:34;?3:57;5:48:41;6:31:54;7:16:46;17:13:04;17:57:56;18:41:10
12.11.2021;7:59:58;12:15:03;16:30:08;8:30;?3:55;5:50:23;6:33:41;7:18:40;17:11:26;17:56:26;18:39:43
13.11.2021;8:02:03;12:15:12;16:28:21;8:26;?3:52;5:52:05;6:35:26;7:20:33;17:09:51;17:54:58;18:38:19
14.11.2021;8:04:07;12:15:22;16:26:36;8:22;?3:49;5:53:46;6:37:11;7:22:26;17:08:17;17:53:32;18:36:57
15.11.2021;8:06:11;12:15:32;16:24:53;8:18;?3:46;5:55:26;6:38:55;7:24:18;17:06:47;17:52:10;18:35:39
16.11.2021;8:08:14;12:15:43;16:23:13;8:14;?3:43;5:57:05;6:40:38;7:26:09;17:05:18;17:50:49;18:34:22
17.11.2021;8:10:16;12:15:56;16:21:35;8:11;?3:40;5:58:42;6:42:20;7:27:59;17:03:52;17:49:31;18:33:09
18.11.2021;8:12:17;12:16:08;16:20:00;8:07;?3:36;6:00:19;6:44:01;7:29:48;17:02:29;17:48:16;18:31:58
19.11.2021;8:14:17;12:16:22;16:18:28;8:04;?3:32;6:01:55;6:45:40;7:31:36;17:01:09;17:47:04;18:30:50
20.11.2021;8:16:15;12:16:37;16:16:58;8:00;?3:29;6:03:29;6:47:19;7:33:22;16:59:51;17:45:54;18:29:44
21.11.2021;8:18:13;12:16:52;16:15:31;7:57;?3:25;6:05:02;6:48:57;7:35:08;16:58:36;17:44:47;18:28:41
22.11.2021;8:20:09;12:17:08;16:14:06;7:53;?3:21;6:06:34;6:50:33;7:36:52;16:57:23;17:43:43;18:27:42
23.11.2021;8:22:04;12:17:25;16:12:45;7:50;?3:16;6:08:05;6:52:08;7:38:35;16:56:14;17:42:41;18:26:44
24.11.2021;8:23:58;12:17:42;16:11:26;7:47;?3:12;6:09:34;6:53:41;7:40:17;16:55:07;17:41:43;18:25:50
25.11.2021;8:25:49;12:18:00;16:10:11;7:44;?3:07;6:11:01;6:55:13;7:41:57;16:54:03;17:40:47;18:24:59
26.11.2021;8:27:39;12:18:19;16:08:59;7:41;?3:02;6:12:28;6:56:44;7:43:35;16:53:03;17:39:54;18:24:10
27.11.2021;8:29:27;12:18:38;16:07:49;7:38;?2:58;6:13:52;6:58:13;7:45:12;16:52:05;17:39:04;18:23:25
28.11.2021;8:31:14;12:18:59;16:06:43;7:35;?2:52;6:15:15;6:59:40;7:46:47;16:51:10;17:38:17;18:22:42
29.11.2021;8:32:58;12:19:19;16:05:41;7:32;?2:46;6:16:37;7:01:06;7:48:20;16:50:19;17:37:33;18:22:02
30.11.2021;8:34:40;12:19:41;16:04:42;7:30;?2:42;6:17:56;7:02:29;7:49:51;16:49:31;17:36:52;18:21:25
01.12.2021;8:36:20;12:20:03;16:03:46;7:27;?2:35;6:19:14;7:03:51;7:51:20;16:48:46;17:36:14;18:20:51
02.12.2021;8:37:57;12:20:25;16:02:54;7:24;?2:30;6:20:31;7:05:11;7:52:47;16:48:04;17:35:39;18:20:20
03.12.2021;8:39:32;12:20:49;16:02:05;7:22;?2:23;6:21:45;7:06:29;7:54:12;16:47:25;17:35:08;18:19:52
04.12.2021;8:41:04;12:21:12;16:01:20;7:20;?2:17;6:22:57;7:07:46;7:55:34;16:46:50;17:34:39;18:19:27
05.12.2021;8:42:34;12:21:36;16:00:39;7:18;?2:11;6:24:08;7:08:59;7:56:54;16:46:19;17:34:14;18:19:05
06.12.2021;8:44:00;12:22:01;16:00:02;7:16;?2:04;6:25:16;7:10:11;7:58:12;16:45:50;17:33:51;18:18:46
07.12.2021;8:45:24;12:22:26;15:59:29;7:14;?1:57;6:26:22;7:11:21;7:59:27;16:45:25;17:33:32;18:18:31
08.12.2021;8:46:45;12:22:52;15:58:59;7:12;?1:50;6:27:26;7:12:28;8:00:40;16:45:04;17:33:16;18:18:18
09.12.2021;8:48:02;12:23:18;15:58:33;7:10;?1:43;6:28:28;7:13:33;8:01:50;16:44:46;17:33:03;18:18:08
10.12.2021;8:49:17;12:23:44;15:58:12;7:08;?1:36;6:29:28;7:14:35;8:02:57;16:44:32;17:32:54;18:18:01
11.12.2021;8:50:28;12:24:11;15:57:54;7:07;?1:29;6:30:25;7:15:35;8:04:01;16:44:21;17:32:47;18:17:57
12.12.2021;8:51:35;12:24:38;15:57:41;7:06;?1:21;6:31:20;7:16:32;8:05:03;16:44:14;17:32:44;18:17:56
13.12.2021;8:52:39;12:25:05;15:57:31;7:04;?1:13;6:32:13;7:17:27;8:06:01;16:44:10;17:32:44;18:17:58
14.12.2021;8:53:40;12:25:33;15:57:26;7:03;?1:06;6:33:03;7:18:19;8:06:56;16:44:10;17:32:47;18:18:03
15.12.2021;8:54:37;12:26:01;15:57:25;7:02;?0:58;6:33:51;7:19:08;8:07:49;16:44:13;17:32:54;18:18:11
16.12.2021;8:55:30;12:26:29;15:57:29;7:01;?0:50;6:34:36;7:19:55;8:08:38;16:44:20;17:33:03;18:18:22
17.12.2021;8:56:19;12:26:58;15:57:36;7:01;?0:42;6:35:19;7:20:39;8:09:24;16:44:31;17:33:16;18:18:36
18.12.2021;8:57:05;12:27:26;15:57:48;7:00;?0:34;6:35:59;7:21:20;8:10:07;16:44:45;17:33:32;18:18:53
19.12.2021;8:57:46;12:27:55;15:58:03;7:00;?0:25;6:36:36;7:21:58;8:10:46;16:45:03;17:33:51;18:19:13
20.12.2021;8:58:23;12:28:23;15:58:23;6:59;?0:18;6:37:11;7:22:33;8:11:22;16:45:24;17:34:13;18:19:36
21.12.2021;8:58:57;12:28:52;15:58:48;6:59;?0:09;6:37:43;7:23:06;8:11:55;16:45:49;17:34:39;18:20:02
22.12.2021;8:59:26;12:29:21;15:59:16;6:59;?0:01;6:38:12;7:23:35;8:12:24;16:46:18;17:35:07;18:20:30
23.12.2021;8:59:52;12:29:50;15:59:48;6:59;+0:07;6:38:38;7:24:01;8:12:50;16:46:50;17:35:39;18:21:02
24.12.2021;9:00:13;12:30:19;16:00:25;7:00;+0:16;6:39:02;7:24:24;8:13:13;16:47:25;17:36:13;18:21:36
25.12.2021;9:00:30;12:30:48;16:01:06;7:00;+0:23;6:39:23;7:24:44;8:13:32;16:48:04;17:36:51;18:22:13
26.12.2021;9:00:43;12:31:17;16:01:50;7:01;+0:32;6:39:41;7:25:01;8:13:47;16:48:46;17:37:32;18:22:52
27.12.2021;9:00:51;12:31:45;16:02:39;7:01;+0:40;6:39:56;7:25:15;8:13:59;16:49:32;17:38:15;18:23:35
28.12.2021;9:00:56;12:32:14;16:03:32;7:02;+0:48;6:40:08;7:25:26;8:14:07;16:50:20;17:39:01;18:24:20
29.12.2021;9:00:56;12:32:42;16:04:28;7:03;+0:56;6:40:17;7:25:34;8:14:12;16:51:13;17:39:51;18:25:07
30.12.2021;9:00:53;12:33:10;16:05:28;7:04;+1:04;6:40:24;7:25:38;8:14:13;16:52:08;17:40:43;18:25:57
31.12.2021;9:00:45;12:33:38;16:06:32;7:05;+1:12;6:40:27;7:25:39;8:14:11;16:53:06;17:41:37;18:26:50
